gene_name,HL_60_CTRL_4_S60872,HL_60_CTRL_5_S60867,HL_60_EZH2_1_S60868,HL_60_EZH2_3_S60869,HL_60_EZH2_4_S60870
DPM1,5.544786125984584,5.539211108868827,5.503906455088945,5.1348161988323575,5.295386485870016
SCYL3,1.325616200344431,1.2860002919632698,1.0871061663574315,1.2106912671093812,1.1183776136857007
C1orf112,3.3007789435134156,3.2960652003680107,2.982700599642242,2.9554097579020393,2.9376802354450007
GCLC,2.3957768072329872,2.3570842416167626,2.9133490068266568,2.8485290768929796,2.947351357998625
NFYA,4.181679441306779,4.157412731370456,3.882919378770174,3.9693283536276778,3.9479344677675763
NIPAL3,1.9807204617983514,2.0008500893087326,1.6633909831238476,1.7608410872725173,1.6546295508349085
LAS1L,4.665894464543972,4.776852519213461,4.836418502365606,4.749476526749751,4.795860757718349
ENPP4,0.6499493023315115,0.759887683391792,1.0698132033854069,0.9253106705772838,0.9836321048118027
ANKIB1,2.217665651993582,2.3284808940504726,2.1842632967354727,2.208221575416357,2.1521031845789915
CYP51A1,3.284587962438479,3.053381158994745,2.8273463741876985,2.8046749407917373,3.045022312130542
KRIT1,0.5653619962761878,0.5314685119118794,0.6460818877752013,0.6736879759476193,0.3903593842314052
RAD52,2.2894626078672986,2.4331774625554687,2.1869799976798245,2.208468138157589,2.1366312756225616
BAD,3.6447755825665755,3.5308923855468723,3.1593180291308496,3.280717985787365,3.2584868469630295
LAP3,4.078304426448062,4.157795946779422,4.0080372659023045,3.8750138344707996,3.8813041256274468
CD99,3.217100846465048,3.127054842691544,3.67689760063312,3.6676710748645918,3.6641130615124315
LASP1,4.746030107066493,4.788172214209295,4.434621754966121,4.479721367227372,4.408425325877774
SNX11,2.6199355412778864,2.657191828894959,2.841329555263945,2.764817757038012,2.9020174666694074
M6PR,5.767533509119066,5.7974936446703556,5.762926253173305,5.7268761313222125,5.761009268857954
ICA1,1.4694687138756906,1.4517554345813395,1.4466378592524036,1.3957553892238008,1.4715116477877759
ALS2,1.9706174522482824,2.182890163623176,2.3398092659748126,2.372916177802715,2.37550602380472
CASP10,1.8974318355550475,1.8062769010790796,1.0811350073351762,0.8527057817056656,1.0686227917779125
CFLAR,0.5119705685479465,0.5925874449442238,0.3548910617812837,0.3868345275065539,0.4476606271816836
NDUFAF7,2.7721065724999487,2.710468547553032,2.218343827434012,2.2723869740079645,2.301974052498668
RBM5,3.4401859000739594,3.517238715154886,3.3954903741430082,3.4842388461017157,3.392353471642599
SLC7A2,2.9621975698408383,2.971887658913315,3.381541261372556,3.425054680785769,3.4130322421810586
ARF5,4.878586971561538,4.806141591880932,5.173262274288242,5.033395337047472,5.027867673020325
POLDIP2,5.481698182502992,5.489506204162289,5.697611132162105,5.677545248593997,5.674044503742026
PLXND1,3.9795881403854003,4.08988249729156,3.8544513809496364,3.974398228494663,3.8945761137358534
AK2,6.663441978331575,6.644761641860512,6.343874350013506,6.279997435852648,6.327570772423812
FKBP4,5.191710060936888,5.120649930496973,5.8660300118264415,5.798709992130509,5.833770070972268
KDM1A,4.935360516485207,4.939062638315651,5.24770575802909,5.116610882818933,5.179693295500416
RBM6,3.6184203455231927,3.649907296691585,3.7126655942462197,3.5734889330357147,3.7035515867621998
RECQL,4.336200131955067,4.357484160785436,4.16355403967441,4.028726778926954,4.067219453996513
VPS50,0.9611063810331723,0.9524304889169026,0.9198200199908124,0.8390925848641768,0.6479354205858101
ARHGAP33,3.2530592577458455,3.272326880346644,2.538442937789898,2.9125003903854436,2.8203628254108186
NDUFAB1,5.412808674648445,5.1386063375766176,5.451153086789958,5.334880257577807,5.371748010122633
SLC25A13,3.489039138912503,3.4640035081809866,3.945466327272767,3.828134626776926,3.8709688267194116
ST7,1.9200364109041301,1.8284151797868688,2.2766050210420006,2.2729736274322514,2.328279826991486
CDC27,3.276774594027747,3.3219360797301616,3.455209723453316,3.3544104929492606,3.420791097153662
HCCS,3.218131241892724,3.4019086996436263,3.307538355585767,3.2445396595595075,3.378781063075391
DVL2,3.4710274575575766,3.5314426050576864,3.449092475894626,3.5714837681379303,3.483783602288985
UPF1,4.855664444953757,4.908379898080724,4.9574856803962835,5.009324791171159,4.972008049387285
SKAP2,3.565266122896967,3.615947346981898,3.1189503205977718,3.112950566069848,3.07548451913296
SLC25A5,9.034810655230688,9.059419853601437,9.04425967615517,8.948800696168364,8.938163927567366
MCUB,2.71920836988963,2.5839372976963593,1.7035690196499103,1.5301810499524673,1.6040745703156618
HOXA11,2.5181939834090312,2.395240836544173,2.7535500298727764,2.625959703044489,2.669217319627411
POLR2J,5.181491130296178,5.173392642711632,5.399094731464509,5.362790847540453,5.3857932615738635
DHX33,3.462691901657192,3.437628506157391,3.1678243111538302,3.3385477277861715,3.364147601792359
THSD7A,0.7191539735799094,0.7099579537269133,1.2570621811776403,1.3763462263325388,1.4077059200041542
LIG3,2.611474845570151,2.7007535454072706,2.6336848631068777,2.747914461450504,2.784578017760413
