gene_id,gene_name,gene_biotype,sample,log2_counts
ENSG00000000419,DPM1,protein_coding,CTRL,5.604449024906236
ENSG00000000419,DPM1,protein_coding,EZH,5.175304770042406
ENSG00000000457,SCYL3,protein_coding,CTRL,1.816842246980779
ENSG00000000457,SCYL3,protein_coding,EZH,1.728784761851349
ENSG00000000460,C1orf112,protein_coding,CTRL,3.401421077151804
ENSG00000000460,C1orf112,protein_coding,EZH,3.1303578363892126
ENSG00000000938,FGR,protein_coding,CTRL,0.33569807012589115
ENSG00000000938,FGR,protein_coding,EZH,0.1214660904928298
ENSG00000000971,CFH,protein_coding,CTRL,0.03105175381678908
ENSG00000000971,CFH,protein_coding,EZH,0.08306891870147967
ENSG00000001084,GCLC,protein_coding,CTRL,2.5731935600255076
ENSG00000001084,GCLC,protein_coding,EZH,3.0360911917560354
ENSG00000001167,NFYA,protein_coding,CTRL,4.2621208868428715
ENSG00000001167,NFYA,protein_coding,EZH,4.058613573300397
ENSG00000001460,STPG1,protein_coding,CTRL,1.0272120259310342
ENSG00000001460,STPG1,protein_coding,EZH,0.8830405827232954
ENSG00000001461,NIPAL3,protein_coding,CTRL,2.325326709151354
ENSG00000001461,NIPAL3,protein_coding,EZH,2.133877947041757
ENSG00000001497,LAS1L,protein_coding,CTRL,4.8178446500151395
ENSG00000001497,LAS1L,protein_coding,EZH,4.802137545629253
ENSG00000001561,ENPP4,protein_coding,CTRL,1.4187447093235706
ENSG00000001561,ENPP4,protein_coding,EZH,1.5356016887089106
ENSG00000001617,SEMA3F,protein_coding,CTRL,0.2747996592433318
ENSG00000001617,SEMA3F,protein_coding,EZH,0.719269872695739
ENSG00000001629,ANKIB1,protein_coding,CTRL,2.528357039383817
ENSG00000001629,ANKIB1,protein_coding,EZH,2.490840367924106
ENSG00000001630,CYP51A1,protein_coding,CTRL,3.344919984036594
ENSG00000001630,CYP51A1,protein_coding,EZH,2.997655288774572
ENSG00000001631,KRIT1,protein_coding,CTRL,1.301532004611735
ENSG00000001631,KRIT1,protein_coding,EZH,1.375815397565291
ENSG00000002016,RAD52,protein_coding,CTRL,2.504981913714597
ENSG00000002016,RAD52,protein_coding,EZH,2.491043069589951
ENSG00000002330,BAD,protein_coding,CTRL,3.630299350764984
ENSG00000002330,BAD,protein_coding,EZH,3.4220169063980905
ENSG00000002549,LAP3,protein_coding,CTRL,4.206070385957878
ENSG00000002549,LAP3,protein_coding,EZH,3.9701363045135785
ENSG00000002586,CD99,protein_coding,CTRL,3.3655556065399024
ENSG00000002586,CD99,protein_coding,EZH,3.77695174007838
ENSG00000002726,AOC1,protein_coding,CTRL,0.196158377012376
ENSG00000002726,AOC1,protein_coding,EZH,0.06840146460057316
ENSG00000002822,MAD1L1,protein_coding,CTRL,0.10706111279741766
ENSG00000002822,MAD1L1,protein_coding,EZH,0.1643991186420605
ENSG00000002834,LASP1,protein_coding,CTRL,4.850514124830191
ENSG00000002834,LASP1,protein_coding,EZH,4.542975449907231
ENSG00000002919,SNX11,protein_coding,CTRL,2.8962166887305396
ENSG00000002919,SNX11,protein_coding,EZH,2.96284907627388
ENSG00000003056,M6PR,protein_coding,CTRL,5.798467726919664
ENSG00000003056,M6PR,protein_coding,EZH,5.753862525113308
ENSG00000003096,KLHL13,protein_coding,CTRL,0.2839435694953957
ENSG00000003096,KLHL13,protein_coding,EZH,0.6644456191510482
ENSG00000003147,ICA1,protein_coding,CTRL,1.8593733549472944
ENSG00000003147,ICA1,protein_coding,EZH,1.860471375043587
ENSG00000003249,DBNDD1,protein_coding,CTRL,0.13802213426755128
ENSG00000003249,DBNDD1,protein_coding,EZH,0.06557924808893163
ENSG00000003393,ALS2,protein_coding,CTRL,2.419816212248488
ENSG00000003393,ALS2,protein_coding,EZH,2.6275767303965756
ENSG00000003400,CASP10,protein_coding,CTRL,2.213626424819426
ENSG00000003400,CASP10,protein_coding,EZH,1.4884557250028236
ENSG00000003402,CFLAR,protein_coding,CTRL,1.291765083591789
ENSG00000003402,CFLAR,protein_coding,EZH,1.2063440096528897
ENSG00000003436,TFPI,protein_coding,CTRL,0.00932337798567297
ENSG00000003436,TFPI,protein_coding,EZH,0.13523585785345668
ENSG00000003509,NDUFAF7,protein_coding,CTRL,2.8615996488632818
ENSG00000003509,NDUFAF7,protein_coding,EZH,2.5437972760998275
ENSG00000003756,RBM5,protein_coding,CTRL,3.611124956986496
ENSG00000003756,RBM5,protein_coding,EZH,3.6077186739183777
ENSG00000003987,MTMR7,protein_coding,CTRL,0.06695455907841197
ENSG00000003987,MTMR7,protein_coding,EZH,0.01538345980059524
ENSG00000003989,SLC7A2,protein_coding,CTRL,3.1836824154648387
ENSG00000003989,SLC7A2,protein_coding,EZH,3.553481802298723
ENSG00000004059,ARF5,protein_coding,CTRL,4.944021808678821
ENSG00000004059,ARF5,protein_coding,EZH,5.0767887522570705
ENSG00000004139,SARM1,protein_coding,CTRL,0.19934539464639375
ENSG00000004139,SARM1,protein_coding,EZH,0.30538292468224976
ENSG00000004142,POLDIP2,protein_coding,CTRL,5.540089365318359
ENSG00000004142,POLDIP2,protein_coding,EZH,5.705461336175688
ENSG00000004399,PLXND1,protein_coding,CTRL,4.104428776351909
ENSG00000004399,PLXND1,protein_coding,EZH,4.063379698603325
ENSG00000004455,AK2,protein_coding,CTRL,6.678993032849
ENSG00000004455,AK2,protein_coding,EZH,6.298444506826132
ENSG00000004468,CD38,protein_coding,CTRL,0.03160909718375901
ENSG00000004468,CD38,protein_coding,EZH,0.00390119749816939
ENSG00000004478,FKBP4,protein_coding,CTRL,5.201197568292454
ENSG00000004478,FKBP4,protein_coding,EZH,5.8243971969700405
ENSG00000004487,KDM1A,protein_coding,CTRL,4.9827930927507085
ENSG00000004487,KDM1A,protein_coding,EZH,5.157606378202944
ENSG00000004534,RBM6,protein_coding,CTRL,3.7051070577161296
ENSG00000004534,RBM6,protein_coding,EZH,3.689851979428866
ENSG00000004660,CAMKK1,protein_coding,CTRL,0.6281604786732891
ENSG00000004660,CAMKK1,protein_coding,EZH,0.772115326974039
ENSG00000004700,RECQL,protein_coding,CTRL,4.411735895949368
ENSG00000004700,RECQL,protein_coding,EZH,4.114515551300163
ENSG00000004766,VPS50,protein_coding,CTRL,1.542061895890088
ENSG00000004766,VPS50,protein_coding,EZH,1.479708932969126
ENSG00000004776,HSPB6,protein_coding,CTRL,0.3877679965659963
ENSG00000004776,HSPB6,protein_coding,EZH,0.31927731414278565
ENSG00000004777,ARHGAP33,protein_coding,CTRL,3.427018516266247
ENSG00000004777,ARHGAP33,protein_coding,EZH,3.0924137912226057
ENSG00000004779,NDUFAB1,protein_coding,CTRL,5.37133652663078
ENSG00000004779,NDUFAB1,protein_coding,EZH,5.370189640449398
ENSG00000004809,SLC22A16,protein_coding,CTRL,0.5136411696045079
ENSG00000004809,SLC22A16,protein_coding,EZH,0.00683984233191295
ENSG00000004838,ZMYND10,protein_coding,CTRL,0.4428339369467795
ENSG00000004838,ZMYND10,protein_coding,EZH,0.5675579285596524
