gene_symbol,log2FoldChange,pvalue
Ndufa9,-0.876453625493974,3.38515014724441e-34
Rpp21,-0.976487461023632,1.56043920307311e-26
Amotl1,-0.758269178047149,2.16481088998353e-24
Gm44064,-0.848502495787912,5.12504846508093e-20
Hcfc1r1,-0.60212864447143,3.79950445433203e-17
Rgs18,-0.81712394815803,1.0555861818713e-16
Vcam1,0.750543911635909,5.03768008116656e-16
Lcmt2,0.804513801772821,1.93966628335147e-15
D830039M14Rik,-0.695294696641696,1.24711792475778e-13
Ino80b,-0.666050819215663,1.96633938785628e-13
Fam71e1,0.739365149733184,3.93619544265736e-13
Mir1957a,-0.66443611139488,8.96813429780139e-13
Cdc7,-0.524891971994429,1.84932806730124e-12
Prickle1,0.52947385652915,7.24433642599582e-12
Gm12319,-0.513146642515869,1.04825654308896e-10
Gm23421,-0.657221445573444,1.24799185311395e-10
Tfam,0.66870716965364,1.57178268219457e-10
Rgs2,0.614697519187149,7.96517667194158e-10
Rxfp1,0.642195373236939,7.96517667194158e-10
Fam229a,0.615217777713459,1.16291993760149e-9
Gm13489,-0.588054944464521,1.44516456438381e-9
Zdhhc1,-0.554163557399438,2.29752521278284e-9
Gm17305,0.612161932375381,2.32266916057067e-9
Gm14425,-0.626578590117079,2.32266916057067e-9
Mrps9,0.466926629410366,2.86102954448804e-9
Mdm4-ps,-0.503936828803347,3.97689202506416e-9
Rps3a2,-0.60703211486593,1.36922651674039e-8
Gm5507,-0.596518139036532,2.29978350958841e-8
Tex2,-0.595972943845755,2.76118652271438e-8
Gm42628,0.5974969991485,2.79726424472619e-8
Ccdc86,0.485774938269972,3.36944891652828e-8
Lilrb4a,0.557087042700954,6.00394571845025e-8
5530400K19Rik,0.514896103591768,1.02264489448176e-7
Epor,-0.435066853926222,1.13293839651673e-7
Grap,0.550753994097777,4.43426200024141e-7
Gm43011,-0.534009322271581,8.8351624819756e-7
Snx24,0.523625034068916,1.21298130519564e-6
Use1,-0.531595519916523,1.23083550239403e-6
Uck2,-0.379783912735386,1.23350277702338e-6
Hacd3,-0.452146763182657,1.23350277702338e-6
Gm6887,-0.462004450481987,2.28091166925516e-6
Cdc34b,0.524148718040056,2.78605537029811e-6
Rassf4,-0.4586175096965,4.00932783302861e-6
Abhd15,-0.480995522689348,5.33336329085514e-6
Slc38a6,0.414000836856774,9.68032010693033e-6
Fdxacb1,-0.457321846106625,1.02023809331994e-5
Gm19269,0.493852488554374,1.02023809331994e-5
Zfp691,-0.468017948536879,1.03156322613392e-5
Notch1,-0.489780361745089,1.48194893150051e-5
Rheb,0.478107276868923,2.12809279205917e-5
Lrch4,-0.33782180335013,2.30687855604648e-5
Gm13740,-0.451377014483738,3.94577127138461e-5
Gm13772,-0.347962336904378,4.00329731866501e-5
Slc22a13b-ps,-0.4430865429284,4.25812268192799e-5
Gm43912,0.474250990940023,4.50917328438881e-5
Igkv14-130,0.432638410733602,4.77012889029436e-5
Gm3764,-0.386305586510322,7.03883381573348e-5
4931406C07Rik,-0.465753500009555,7.72771964410611e-5
Rin3,-0.439362077698174,7.72771964410611e-5
Calm3,-0.418026925938459,8.42303817609037e-5
Gm34267,0.460060564377734,9.44268489311134e-5
Rexo1,-0.454316050697667,9.44268489311134e-5
Bend3,0.446747464360789,1.00681363042815e-4
Prkag3,0.415286468510291,1.34836790140926e-4
Gm7241,0.453116312195449,1.47453944172057e-4
Rtkn2,-0.432798104694771,1.7687589126811e-4
Slc35b4,-0.443874696381173,2.07030250191435e-4
Gm42763,-0.440724804519374,2.76456163663031e-4
Gm27003,-0.382139840845314,3.88458173577434e-4
Pop1,-0.3569102570755,4.35546767201381e-4
Pik3r1,-0.420178757851136,4.35546767201381e-4
Gm4865,-0.321678265536008,4.48102143278583e-4
Mum1,-0.424466955483379,4.76659535161912e-4
Olfr221,-0.30082655671375,4.76659535161912e-4
Klra1,-0.253191232612808,5.21753128491176e-4
Gnl3,-0.279418029827512,5.619368959841e-4
Ston1,-0.418290620921892,5.80543438967151e-4
Mamdc4,-0.33243128509498,6.19047022192938e-4
Adgrl4,0.317313108852071,6.617358370271e-4
Zfp341,0.420309254078686,6.65306668514238e-4
Mir6910,0.408697060433031,9.85377632290582e-4
Gm10254,0.405442125768033,0.00134234054501579
Gm12321,-0.281436355863985,0.00166833350057513
Tada2b,-0.301137336031375,0.00167433804610259
Atg9b,0.399012473111638,0.00189959033159303
Alg9,0.399273041097324,0.00192845992075993
Gm12251,0.286452419850777,0.00193402482150552
Rps19-ps13,-0.307321715686303,0.00198557773360921
Gm10537,-0.290701247300615,0.00216376185715273
Cfap45,0.370677953241722,0.00216376185715273
Gm13641,0.380780442966162,0.0023509577009139
Wdr20,-0.359810490093556,0.00248426507009356
Aph1c,0.386264615948109,0.00268979506413606
Gm37023,-0.378901155157904,0.00279734982624673
Hacl1,-0.359319125093416,0.00285081677706455
Fam50a,0.302607994530725,0.00288721599829185
Gm26493,0.329031380560564,0.00288721599829185
Myo7a,0.376007257573684,0.00297602545507538
Limk1,0.304447046296658,0.00300932374863959
Whsc1l1,-0.365819436302745,0.00305090819552158
Chm,0.334831532024157,0.0031948315297719
Phactr1,-0.358937368583832,0.00341412671082648
Mthfd1,0.372148587192055,0.00362841705042243
Ankrd9,0.300968254948161,0.00375293838003601
Fam214b,-0.374680446183532,0.00387224477389682
Reps1,-0.380585811654889,0.00396281116493644
Wdr13,0.333069066764951,0.00396281116493644
Mir1938,-0.346222010685576,0.00396951788978381
Pxn,-0.271494384367359,0.00424633711889215
Phf23,0.361772376604272,0.00427704846993485
RP23-131H17.1,-0.376059507045702,0.00476255540314086
Gm6612,0.372241192793483,0.00508904264669509
Slc24a3,0.251218729534242,0.00508904264669509
Gm10522,-0.282664002571562,0.00510087353018936
Ahr,0.372053243702634,0.00510087353018936
Zfp61,-0.276762327114006,0.00520028916446627
Smarcd1,0.354026492302414,0.00676084616032051
2210417A02Rik,0.327221706204939,0.00726340380701008
Gm37689,0.358705828085454,0.00776385434374309
Pck2,-0.270725616551742,0.00778644049709062
Yod1,-0.340266848237059,0.0092983523328077
n-R5s33,-0.346038560330514,0.00945015157655423
Igkv6-25,0.356531129948888,0.0104763058231947
RP23-54G12.8,-0.239815008141402,0.0105482129111486
Rcn3,0.347681097489909,0.0105482129111486
Abtb1,-0.354030252191727,0.0108070586714018
Gm16845,-0.277495072863505,0.0112839662619721
3830403N18Rik,-0.325381855509231,0.0114706188331304
Dpy30,0.337671068002987,0.011690457097748
Ighm,0.336151763146395,0.011690457097748
Igkv4-79,0.28144806459012,0.011690457097748
Gm37894,0.346556378244975,0.0129282031044162
Gm23075,0.34616808786822,0.0129488508682235
Dusp7,-0.331889148572156,0.0130981971307842
Phlpp1,-0.346578637836355,0.0133833529914559
Ybx1,-0.321963794602353,0.0134344482260155
Mir343,-0.347631291373479,0.0141032166075497
4933427E11Rik,-0.332911361165958,0.01433224944893
Rpl31-ps18,0.215045484922123,0.0143996901605823
Zfp688,-0.282071535078854,0.0151487183630963
Fgf18,-0.212438865988956,0.0160304700530823
