Country,Continent,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,Europe,245,250,279,298,334,368,411,443,552,751,952
Andorra,Europe,316,308,306,301,344,329,321,297,306,249,261
Bosnia y Herzegovina,Europe,59,61,59,69,65,71,75,62,73,77,80
Croacia,Europe,164,190,202,239,312,341,403,437,486,549,575
Eslovenia,Europe,131,130,134,152,164,182,191,203,228,252,276
Grecia,Europe,815,895,893,957,1066,1089,1246,1307,1389,1439,1461
Italia,Europe,24256,25015,25707,26993,29272,31500,36276,39863,41759,44233,45803
Macedonia,Europe,61,69,70,73,87,96,97,92,100,92,102
Malta,Europe,29,28,25,27,30,29,38,60,61,72,71
Montenegro,Europe,27,30,31,32,41,43,39,38,43,46,52
Portugal,Europe,4048,4071,4132,4169,4537,4699,5371,5672,5897,6103,6000
San Marino,Europe,0,0,0,0,1,1,1,1,1,2,2
Serbia,Europe,422,406,424,411,434,462,475,474,508,532,591
Alemania,Europe,6914,6930,6870,6783,7041,7075,7739,7788,7886,8102,8158
Austria,Europe,717,731,731,717,754,723,804,819,818,858,870
Belgica,Europe,1313,1367,1409,1516,1576,1629,1782,1782,1815,1888,1918
Francia,Europe,12708,13062,13281,13671,14717,15260,16940,17433,17792,18417,18000
Liechtenstein,Europe,5,6,8,6,4,4,7,7,5,4,3
Luxemburgo,Europe,34,36,35,29,35,40,50,63,69,64,88
Monaco,Europe,1,1,1,2,2,2,2,2,2,4,4
Paises Bajos,Europe,2344,2437,2444,2613,2832,2923,3200,3237,3285,3338,3301
Suiza,Europe,900,924,937,923,932,976,1082,1026,1029,1105,1164
Belarus,Europe,292,318,361,405,472,488,527,554,544,555,673
Bulgaria,Europe,1979,2023,2013,1946,1991,1965,2044,1972,1949,1972,1847
Republica Eslovaca,Europe,311,337,335,334,358,370,400,383,407,415,422
Hungria,Europe,577,648,668,732,809,844,951,1005,1036,1043,1058
Moldavia,Europe,503,520,509,512,539,530,544,519,529,498,512
Polonia,Europe,2389,2438,2453,2532,2700,2752,3088,3280,3377,3430,3393
Rumania,Europe,6995,7118,7062,7029,7229,7050,7617,7581,7505,7625,7205
Rusia,Europe,4594,5210,5840,6239,7015,7234,7596,7960,8073,7675,9275
Republica Checa,Europe,518,531,523,507,520,497,524,515,513,497,499
Ucrania,Europe,3058,3061,3385,3986,4541,4768,5059,5312,5382,5091,7962
Dinamarca,Europe,569,596,590,572,612,615,671,698,697,687,660
Estonia,Europe,126,154,159,177,195,191,204,213,214,191,193
Finlandia,Europe,493,499,496,505,514,546,624,620,619,625,578
Irlanda,Europe,934,1006,1020,1052,1099,1093,1227,1322,1399,1546,1670
Islandia,Europe,124,112,120,114,128,114,113,91,94,103,118
Letonia,Europe,224,245,239,290,300,288,316,337,351,353,357
Lituania,Europe,328,343,378,391,431,474,563,572,601,620,570
Noruega,Europe,339,367,420,421,407,363,422,437,425,445,424
Reino Unido,Europe,6272,6658,6758,6980,7345,7609,8517,9025,10086,10146,9310
Suecia,Europe,2192,2208,2041,1936,1930,1769,2012,1957,1948,1955,1862
Angola,Africa,40,41,38,40,39,47,53,58,62,54,66
Camerun,Africa,246,258,256,246,255,233,265,291,347,385,323
Congo,Africa,46,43,48,42,49,44,52,52,57,54,62
Gabon,Africa,10,13,6,7,10,6,5,7,12,11,10
Guinea Ecuatorial,Africa,157,154,158,176,244,288,289,301,303,272,282
Republica Centroafricana,Africa,2,4,3,4,4,3,5,8,9,9,9
Rep Democratica del Congo,Africa,1,1,1,1,1,1,1,2,2,2,2
Santo Tome y Principe,Africa,6,7,6,6,6,7,6,7,7,7,8
Chad,Africa,0,2,2,1,1,4,3,2,1,3,5
Botswana,Africa,0,0,0,0,1,3,4,4,5,3,1
Eswatini,Africa,0,0,0,1,1,1,1,2,2,1,1
Lesoto,Africa,0,1,1,0,1,0,0,1,1,0,1
