Country,Year,Age_group,Population,Sex
Spain,1950,65+ years,1200776,Female
Spain,1950,25-64 years,7000109,Female
Spain,1950,15-24 years,2717091,Female
Spain,1950,5-14 years,2343662,Female
Spain,1950,Under-5s,1300997,Female
Spain,1951,65+ years,1225920,Female
Spain,1951,25-64 years,7085855,Female
Spain,1951,15-24 years,2711307,Female
Spain,1951,5-14 years,2331588,Female
Spain,1951,Under-5s,1267092,Female
Spain,1952,65+ years,1251509,Female
Spain,1952,25-64 years,7173692,Female
Spain,1952,15-24 years,2675388,Female
Spain,1952,5-14 years,2335771,Female
Spain,1952,Under-5s,1276277,Female
Spain,1953,65+ years,1281358,Female
Spain,1953,25-64 years,7261533,Female
Spain,1953,15-24 years,2608721,Female
Spain,1953,5-14 years,2388659,Female
Spain,1953,Under-5s,1277135,Female
Spain,1954,65+ years,1305909,Female
Spain,1954,25-64 years,7346515,Female
Spain,1954,15-24 years,2522729,Female
Spain,1954,5-14 years,2463913,Female
Spain,1954,Under-5s,1284063,Female
Spain,1955,65+ years,1335703,Female
Spain,1955,25-64 years,7432459,Female
Spain,1955,15-24 years,2456228,Female
Spain,1955,5-14 years,2489524,Female
Spain,1955,Under-5s,1316591,Female
Spain,1956,65+ years,1360488,Female
Spain,1956,25-64 years,7513323,Female
Spain,1956,15-24 years,2407860,Female
Spain,1956,5-14 years,2505653,Female
Spain,1956,Under-5s,1350884,Female
Spain,1957,65+ years,1375474,Female
Spain,1957,25-64 years,7590680,Female
Spain,1957,15-24 years,2349876,Female
Spain,1957,5-14 years,2560349,Female
Spain,1957,Under-5s,1376961,Female
Spain,1958,65+ years,1401750,Female
Spain,1958,25-64 years,7671244,Female
Spain,1958,15-24 years,2307801,Female
Spain,1958,5-14 years,2597897,Female
Spain,1958,Under-5s,1405896,Female
Spain,1959,65+ years,1433418,Female
Spain,1959,25-64 years,7737649,Female
Spain,1959,15-24 years,2296805,Female
Spain,1959,5-14 years,2616401,Female
Spain,1959,Under-5s,1437620,Female
Spain,1960,65+ years,1472008,Female
Spain,1960,25-64 years,7782497,Female
Spain,1960,15-24 years,2306467,Female
Spain,1960,5-14 years,2628899,Female
Spain,1960,Under-5s,1455547,Female
Spain,1961,65+ years,1519757,Female
Spain,1961,25-64 years,7847196,Female
Spain,1961,15-24 years,2303269,Female
Spain,1961,5-14 years,2645472,Female
Spain,1961,Under-5s,1472552,Female
Spain,1962,65+ years,1561934,Female
Spain,1962,25-64 years,7924538,Female
Spain,1962,15-24 years,2300921,Female
Spain,1962,5-14 years,2672614,Female
Spain,1962,Under-5s,1495786,Female
Spain,1963,65+ years,1592408,Female
Spain,1963,25-64 years,7973553,Female
Spain,1963,15-24 years,2344363,Female
Spain,1963,5-14 years,2696444,Female
Spain,1963,Under-5s,1513923,Female
Spain,1964,65+ years,1619704,Female
Spain,1964,25-64 years,8000230,Female
Spain,1964,15-24 years,2414492,Female
Spain,1964,5-14 years,2725920,Female
Spain,1964,Under-5s,1537622,Female
Spain,1965,65+ years,1669161,Female
Spain,1965,25-64 years,8032862,Female
Spain,1965,15-24 years,2443335,Female
Spain,1965,5-14 years,2769842,Female
Spain,1965,Under-5s,1562523,Female
Spain,1966,65+ years,1726211,Female
Spain,1966,25-64 years,8067777,Female
Spain,1966,15-24 years,2457003,Female
Spain,1966,5-14 years,2819207,Female
Spain,1966,Under-5s,1580017,Female
Spain,1967,65+ years,1773033,Female
